time,ankle_angle_L,ankle_angle_R,hip_angle_L,hip_angle_R,knee_angle_L,knee_angle_R
0.0,0.0,1.0,0.8414709848078965,0.5403023058681398,0.9092974268256817,-0.4161468365471424
0.10101010101010101,0.1008384202581046,0.9949028158568303,0.8916650832327507,0.4526956807210908,0.8626989808074191,-0.5057177755565254
0.20202020202020202,0.2006488565226854,0.9796632259996998,0.9327692194110607,0.3604741090831359,0.8073058636585563,-0.5901332413129365
0.30303030303030304,0.2984138044476411,0.9544365884201449,0.9643643626405329,0.2645777316194973,0.7436827732158364,-0.6685326714693927
0.40404040404040403,0.3931366121483298,0.9194800727522776,0.9861284203950265,0.1659841513193654,0.6724783066947484,-0.740116833361439
0.5050505050505051,0.48385164043793466,0.8751500385908233,0.9978395218543868,0.06569846745098809,0.5944183486506397,-0.8041559716792797
0.6060606060606061,0.5696341069089657,0.82189840263017,0.9993782797372988,-0.03525697079043223,0.5102986710442291,-0.8599972478621625
0.7070707070707071,0.6496095135057065,0.7602680316591506,0.9907290073792002,-0.1358529864869546,0.42097682084916355,-0.9070713953751002
0.8080808080808081,0.7229625614794605,0.6908872083770674,0.9719798786479186,-0.23506406680642944,0.32736337790234965,-0.9448985230215801
0.9090909090909091,0.7889454628442574,0.6144632264484674,0.9433220290667883,-0.33187881745799525,0.2304126721177387,-0.9730930071311598
1.0101010101010102,0.8468855636029834,0.5317751800910392,0.9050476073087342,-0.4253102732179594,0.1311130546957199,-0.9913674227491829
1.1111111111111112,0.8961922010299563,0.4436660217022285,0.8575467969251046,-0.5144059594167756,0.030476822506986412,-0.9995354737526215
1.2121212121212122,0.9363627251042848,0.3510339684920502,0.8013038386708499,-0.5982576018166094,-0.0704701016345807,-0.9975138920213652
1.3131313131313131,0.9669876227092996,0.25482334572604864,0.7368920939759265,-0.6760103858934228,-0.17069862760690957,-0.9853232863041032
1.4141414141414141,0.9877546923600838,0.15601495992575853,0.6649681998877207,-0.746871671131048,-0.2691869889034409,-0.9630879321251506
1.5151515151515151,0.9984522269003895,0.05561610016580674,0.5862653750711555,-0.8101190714905293,-0.3649311588971993,-0.9310345048739853
1.6161616161616161,0.9989711717233568,-0.04534973060188524,0.501585945107586,-0.8651078196794487,-0.456955086257999,-0.8894897689928449
1.7171717171717171,0.9893062365143401,-0.1458532495141353,0.41179316329233784,-0.911277340147164,-0.544320645179169,-0.8388772468196602
1.8181818181818181,0.9695559491823237,-0.24486988668507892,0.3178024103126908,-0.9481569637984231,-0.6261371989775246,-0.7797129010453654
1.9191919191919191,0.9399216514301312,-0.3413902300489206,0.22057186252003017,-0.9753707261674635,-0.701570679571726,-0.7125998748002041
2.0202020202020203,0.9007054462029555,-0.43443031567828566,0.12109272392723609,-0.9926412001382383,-0.7698520902794763,-0.6382223429905295
2.121212121212121,0.8523071179396752,-0.5230416586748752,0.020379121509932187,-0.99979232413861,-0.8302853452529084,-0.55733853756784
2.2222222222222223,0.7952200570230491,-0.6063209223738354,-0.08054223317739648,-0.9967511969768573,-0.8822543656340825,-0.47077301783301334
2.323232323232323,0.7300262299764464,-0.6834191272904034,-0.1806425106771101,-0.9835488210232729,-0.9252293600897518,-0.37940826457512544
2.4242424242424243,0.6573902466827755,-0.7535503059294446,-0.2789012518948127,-0.9603197861605821,-0.9587722256993316,-0.2841756837372786
2.525252525252525,0.5780525851065732,-0.815999515227557,-0.37431677103517796,-0.9273008977251117,-0.9825410141374195,-0.1860461113213908
2.6262626262626263,0.4928220425889235,-0.8701301249459654,-0.4659163671558576,-0.8848287624259782,-0.9962934176209568,-0.08601991632845139
2.727272727272727,0.40256749066949654,-0.9153903077136358,-0.5527662402391167,-0.8333363568523283,-0.9998892390840103,0.014883197371499469
